Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
205,Forretress,Sl,3,Reverse,,60/106,,Tamokazu Komiya,,,
632,Durant,Sl,3,,,61/106,,Midori Harada,,,
669,Flabebe,Fa,1,,,62/106,,5ban Graphics,,,
669,Flabebe,Fa,1,,,63/106,,5ban Graphics,,,
670,Floette,Fa,3,,,64/106,,5ban Graphics,,,
670,Floette,Fa,2,,,65/106,,5ban Graphics,,,
671,Florges,Fa,3,Reverse,,66/106,,5ban Graphics,,,
682,Spritzee,Fa,1,Reverse,,67/106,,5ban Graphics,,,
703,Carbink,Fa,3,Art,,68/106,,5ban Graphics,,,
621,Druddigon,Dr,5,Reverse,,70/106,,Ryota Murayama,,,
691,Dragalge,Dr,3,,,71/106,,5ban Graphics,,,
704,Goomy,Dr,1,,,72/106,,5ban Graphics,,,
705,Sliggoo,Dr,2,,,73/106,,5ban Graphics,,,
706,Goodra,Dr,3,,,74/106,,5ban Graphics,,,
16,Pidgey,N,1,,,75/106,,Atsuko Nishida,,,
17,Pidgeotto,N,2,Reverse,,76/106,,Shin Nagasawa,,,
18,Pidgeot,N,3,Reverse,,77/106,,Kawayoo,,,
143,Snorlax,N,3,,,80/106,,Mitsuhiro Arita,,,
161,Sentret,N,1,Reverse,,81/106,,Mizue,,,
162,Furret,N,3,,,82/106,,Kagemaru Himeno,,,
241,Miltank,N,2,Reverse,,83/106,,Kanado Eo,,,
427,Buneary,N,1,Reverse,,84/106,,Kyoko Umemoto,,,
428,Lopunny,N,3,,,85/106,,Sanosuke Sakuma,,,
661,Fletchling,N,1,,,86/106,,5ban Graphics,,,
676,Forfrou,N,2,,,87/106,,5ban Graphics,,,
T,Blacksmith,Su,2,,,88/106,,Masakazu Fukuda,,,
T,Fiery Torch,I,2,,,89/106,,Toyste Beach,,,
T,Lysandre,Su,2,Full,,90/106,,Ken Sugimori,,,
T,Magnetic Storm,S,2,Full,,91/106,,Ryo Ueda,,,
T,Pokemon Center Lady,Su,2,,,93/106,,Maiko Fujwara,,,
T,Pokemon Fan Club,Su,2,,,94/106,,Yusuke Ohmura,,,
T,Pal Pad,I,2,,,92/106,,PLANETA,,,
T,Protection Cube,I,2,,,95/106,,Toyste Beach,,,
T,Sacred Ash,I,2,,,96/106,,PLANETA,,,
T,Startling Megaphone,I,2,,,97/106,,Toyste Beach,,,
T,Trick Shovel,I,2,,,98/106,,PLANETA,,,
T,Ultra Ball,I,2,,,99/106,,5ban Graphics,,,
115,Kangaskhan EX,N,5,Full,Full Art / Ridged,103/106,,Ryo Ueda,,,
T,Pokemon Center Lady,Su,5,Full,Full Art / Ridged,105/106,,Megumi Mizutani,,,
